model,zone,planning_year,case,unit,value
GenX,BASN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,2550336.355791534
GenX,CANO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,7248293.925745989
GenX,CASO,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,7904192.742244293
GenX,FRCC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,11934083.17644691
GenX,ISNE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,13570864.721957749
GenX,MISC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3906947.1744926623
GenX,MISE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3837748.2454374647
GenX,MISS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,10980482.290793426
GenX,MISW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,8513106.388563871
GenX,NWPP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,596957.7743634823
GenX,NYCW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,2823907.053325613
GenX,NYUP,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,1613854.4564915225
GenX,PJMC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,5634344.183963127
GenX,PJMD,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,5269689.96223551
GenX,PJME,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,32465252.49071213
GenX,PJMW,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,16413237.541997826
GenX,RMRG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,487355.6659699888
GenX,SPPC,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,381638.1173989647
GenX,SPPN,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,232807.9288624308
GenX,SPPS,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3968314.019537472
GenX,SRCA,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,6580576.215332554
GenX,SRCE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,5525492.858907297
GenX,SRSE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,16937148.511487745
GenX,SRSG,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3700932.303559936
GenX,TRE,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,10462798.500521662
GenX,TRE_WEST,2030,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,2459638.023849641
GenX,BASN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3689205.7506588898
GenX,CANO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,6103661.491243375
GenX,CASO,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,7997343.869471345
GenX,FRCC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,13308163.663120467
GenX,ISNE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,14951935.090277962
GenX,MISC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,5374491.317829355
GenX,MISE,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,4080541.5014013066
GenX,MISS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,9563741.050805869
GenX,MISW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,7882272.059549461
GenX,NWPP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,2032031.0901815835
GenX,NYCW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3059383.9084096025
GenX,NYUP,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,2756308.215871788
GenX,PJMC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,4678132.5972947385
GenX,PJMD,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3476239.702656054
GenX,PJME,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,26073018.502380837
GenX,PJMW,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,16402234.792259691
GenX,RMRG,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,896137.6856329903
GenX,SPPC,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,572191.5105786268
GenX,SPPN,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,467900.85564552806
GenX,SPPS,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,3485498.7640729
GenX,SRCA,2040,debug_full_scenarios_wacc_5_no_ramp_cap/results_thin,tons,6568748.38419435
