model,zone,resource_name,tech_type,planning_year,case,unit,start_value,end_value
USENSYS,BASN,BASN_landbasedwind_class3_moderate_0,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,2443
USENSYS,BASN,BASN_landbasedwind_class3_moderate_2,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,3586
USENSYS,BASN,BASN_landbasedwind_class3_moderate_3,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,656
USENSYS,BASN,BASN_landbasedwind_class3_moderate_7,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,917
USENSYS,BASN,BASN_landbasedwind_class3_moderate_9,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,608
USENSYS,BASN,BASN_utilitypv_class1_moderate_1,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,280
USENSYS,CANO,CANO_utilitypv_class1_moderate_0,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,6620
USENSYS,CANO,CANO_utilitypv_class1_moderate_1,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,2729
USENSYS,CASO,CASO_landbasedwind_class3_moderate_2,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,4
USENSYS,CASO,CASO_naturalgas_ccavgcf_moderate_0,Natural Gas,2030,26z-short-current-policies_w10_h168_1680w,MW,0,490
USENSYS,CASO,CASO_utilitypv_class1_moderate_0,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,9622
USENSYS,CASO,CASO_utilitypv_class1_moderate_1,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,3227
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_1,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,563
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_2,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,783
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_4,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,1099
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_5,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,690
USENSYS,FRCC,FRCC_landbasedwind_class3_moderate_6,Wind,2030,26z-short-current-policies_w10_h168_1680w,MW,0,2148
USENSYS,FRCC,FRCC_utilitypv_class1_moderate_1,Solar,2030,26z-short-current-policies_w10_h168_1680w,MW,0,13699
