model,line_name,planning_year,case,unit,value
SWITCH,BASN_to_CANO,2030,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_CANO,2040,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_CANO,2050,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_CASO,2030,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_CASO,2040,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_CASO,2050,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_NWPP,2030,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_NWPP,2040,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_NWPP,2050,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_SRSG,2030,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_SRSG,2040,base_short_co2_1000,MW,0.0
SWITCH,BASN_to_SRSG,2050,base_short_co2_1000,MW,0.0
SWITCH,CANO_to_CASO,2030,base_short_co2_1000,MW,0.0
SWITCH,CANO_to_CASO,2040,base_short_co2_1000,MW,0.0
SWITCH,CANO_to_CASO,2050,base_short_co2_1000,MW,0.0
SWITCH,CASO_to_SRSG,2030,base_short_co2_1000,MW,553.6
SWITCH,CASO_to_SRSG,2040,base_short_co2_1000,MW,2333.0
SWITCH,CASO_to_SRSG,2050,base_short_co2_1000,MW,1078.9
SWITCH,FRCC_to_SRSE,2030,base_short_co2_1000,MW,0.0
SWITCH,FRCC_to_SRSE,2040,base_short_co2_1000,MW,1189.8
SWITCH,FRCC_to_SRSE,2050,base_short_co2_1000,MW,2614.9
SWITCH,MISC_to_MISS,2030,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_MISS,2040,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_MISS,2050,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_PJMW,2030,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_PJMW,2040,base_short_co2_1000,MW,12676.9
SWITCH,MISC_to_PJMW,2050,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SPPC,2030,base_short_co2_1000,MW,3751.1
SWITCH,MISC_to_SPPC,2040,base_short_co2_1000,MW,9008.6
SWITCH,MISC_to_SPPC,2050,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SPPN,2030,base_short_co2_1000,MW,2716.3
SWITCH,MISC_to_SPPN,2040,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SPPN,2050,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SPPS,2030,base_short_co2_1000,MW,7173.3
SWITCH,MISC_to_SPPS,2040,base_short_co2_1000,MW,11720.0
SWITCH,MISC_to_SPPS,2050,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SRCE,2030,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SRCE,2040,base_short_co2_1000,MW,0.0
SWITCH,MISC_to_SRCE,2050,base_short_co2_1000,MW,0.0
SWITCH,MISE_to_MISC,2030,base_short_co2_1000,MW,3258.9
SWITCH,MISE_to_MISC,2040,base_short_co2_1000,MW,2524.9
SWITCH,MISE_to_MISC,2050,base_short_co2_1000,MW,0.0
SWITCH,MISE_to_PJMW,2030,base_short_co2_1000,MW,0.0
SWITCH,MISE_to_PJMW,2040,base_short_co2_1000,MW,0.0
SWITCH,MISE_to_PJMW,2050,base_short_co2_1000,MW,0.0
SWITCH,MISS_to_SRCE,2030,base_short_co2_1000,MW,0.0
SWITCH,MISS_to_SRCE,2040,base_short_co2_1000,MW,0.0
SWITCH,MISS_to_SRCE,2050,base_short_co2_1000,MW,0.0
SWITCH,MISS_to_SRSE,2030,base_short_co2_1000,MW,5167.5
SWITCH,MISS_to_SRSE,2040,base_short_co2_1000,MW,8370.7
SWITCH,MISS_to_SRSE,2050,base_short_co2_1000,MW,1751.7
SWITCH,MISW_to_MISC,2030,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_MISC,2040,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_MISC,2050,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_MISE,2030,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_MISE,2040,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_MISE,2050,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_PJMC,2030,base_short_co2_1000,MW,235.5
SWITCH,MISW_to_PJMC,2040,base_short_co2_1000,MW,2399.9
SWITCH,MISW_to_PJMC,2050,base_short_co2_1000,MW,1404.2
SWITCH,MISW_to_SPPC,2030,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_SPPC,2040,base_short_co2_1000,MW,1225.7
SWITCH,MISW_to_SPPC,2050,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_SPPN,2030,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_SPPN,2040,base_short_co2_1000,MW,0.0
SWITCH,MISW_to_SPPN,2050,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CANO,2030,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CANO,2040,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CANO,2050,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CASO,2030,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CASO,2040,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_CASO,2050,base_short_co2_1000,MW,0.0
SWITCH,NWPP_to_MISW,2030,base_short_co2_1000,MW,0.0
