model,line,line_name,planning_year,case,unit,start_value,end_value
GenX,1,BASN_to_CANO,2030,base_short_tx_50,MW,100,100.051
GenX,2,BASN_to_CASO,2030,base_short_tx_50,MW,5920,5920
GenX,3,BASN_to_NWPP,2030,base_short_tx_50,MW,3350,3350
GenX,4,BASN_to_RMRG,2030,base_short_tx_50,MW,3750,5623.95
GenX,5,BASN_to_SRSG,2030,base_short_tx_50,MW,5385,5385
GenX,6,CANO_to_CASO,2030,base_short_tx_50,MW,3675,3675.01
GenX,7,CANO_to_NWPP,2030,base_short_tx_50,MW,3675,3675.08
GenX,8,CASO_to_NWPP,2030,base_short_tx_50,MW,2858,2858.05
GenX,9,CASO_to_SRSG,2030,base_short_tx_50,MW,4354,4354.05
GenX,10,FRCC_to_SRSE,2030,base_short_tx_50,MW,3600,3600.05
GenX,11,ISNE_to_NYCW,2030,base_short_tx_50,MW,760,1159.87
GenX,12,ISNE_to_NYUP,2030,base_short_tx_50,MW,1400,2099.93
GenX,13,MISC_to_MISE,2030,base_short_tx_50,MW,0,399.913
GenX,14,MISC_to_MISS,2030,base_short_tx_50,MW,1039,1039.17
GenX,15,MISC_to_MISW,2030,base_short_tx_50,MW,1655,1655.2
GenX,16,MISC_to_PJMC,2030,base_short_tx_50,MW,5244,5244.52
GenX,17,MISC_to_PJMW,2030,base_short_tx_50,MW,5441,8159.02
GenX,18,MISC_to_SPPC,2030,base_short_tx_50,MW,1430,2144.82
GenX,19,MISC_to_SPPN,2030,base_short_tx_50,MW,0,399.875
GenX,20,MISC_to_SPPS,2030,base_short_tx_50,MW,1172,1757.87
GenX,21,MISC_to_SRCE,2030,base_short_tx_50,MW,3745,3745.07
GenX,22,MISE_to_MISW,2030,base_short_tx_50,MW,0,399.914
GenX,23,MISE_to_PJMW,2030,base_short_tx_50,MW,2662,2662.03
GenX,24,MISS_to_SPPC,2030,base_short_tx_50,MW,0,399.939
GenX,25,MISS_to_SPPS,2030,base_short_tx_50,MW,1697,2544.9
GenX,26,MISS_to_SRCE,2030,base_short_tx_50,MW,4092,4092.01
GenX,27,MISS_to_SRSE,2030,base_short_tx_50,MW,891,1153.65
GenX,28,MISW_to_NWPP,2030,base_short_tx_50,MW,200,599.815
GenX,29,MISW_to_PJMC,2030,base_short_tx_50,MW,3200,4798.24
GenX,30,MISW_to_SPPC,2030,base_short_tx_50,MW,0,399.795
GenX,31,MISW_to_SPPN,2030,base_short_tx_50,MW,5512,5512.15
GenX,32,NWPP_to_RMRG,2030,base_short_tx_50,MW,400,799.852
GenX,33,NYCW_to_NYUP,2030,base_short_tx_50,MW,2489,3732.9
GenX,34,NYCW_to_PJME,2030,base_short_tx_50,MW,660,1059.96
GenX,35,NYUP_to_PJME,2030,base_short_tx_50,MW,1255,1882.63
GenX,36,PJMC_to_PJMW,2030,base_short_tx_50,MW,980,1469.8
GenX,37,PJMD_to_PJME,2030,base_short_tx_50,MW,1200,1799.71
GenX,38,PJMD_to_PJMW,2030,base_short_tx_50,MW,6930,6930.01
GenX,39,PJMD_to_SRCA,2030,base_short_tx_50,MW,1000,1000.06
GenX,40,PJME_to_PJMW,2030,base_short_tx_50,MW,3885,5815.88
GenX,41,PJMW_to_SRCA,2030,base_short_tx_50,MW,1219,1219.02
GenX,42,PJMW_to_SRCE,2030,base_short_tx_50,MW,3333,3333.26
GenX,43,RMRG_to_SPPC,2030,base_short_tx_50,MW,210,609.97
