period,value,model,zone,resource_name,tech_type,case,timestep,unit,planning_year
2030,800185.8472810441,SWITCH,BASN,BASN_batteries_1,Battery,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_battery_moderate_0,Battery,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_biomass_1,Other,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_biomass_2,Other,base_short_50,all,MWh,2030
2030,13981204.55832528,SWITCH,BASN,BASN_conventional_hydroelectric_1,Hydro,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_conventional_steam_coal_1,Coal,base_short_50,all,MWh,2030
2030,111526.32974632503,SWITCH,BASN,BASN_conventional_steam_coal_2,Coal,base_short_50,all,MWh,2030
2030,3710361.639858424,SWITCH,BASN,BASN_distributed_generation_1,Distributed Solar,base_short_50,all,MWh,2030
2030,4283829.171782163,SWITCH,BASN,BASN_geothermal_1,Geothermal,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_hydrogen_ccavgcf_moderate_0,Hydro,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_hydrogen_ctavgcf_moderate_0,Hydro,base_short_50,all,MWh,2030
2030,9905729.398884237,SWITCH,BASN,BASN_landbasedwind_class3_moderate_0,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_1,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_10,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_11,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_12,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_13,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_14,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_15,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_16,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_17,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_18,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_19,Wind,base_short_50,all,MWh,2030
2030,12318548.40384727,SWITCH,BASN,BASN_landbasedwind_class3_moderate_2,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_20,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_21,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_22,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_23,Wind,base_short_50,all,MWh,2030
2030,4147174.6493062507,SWITCH,BASN,BASN_landbasedwind_class3_moderate_3,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_4,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_5,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_6,Wind,base_short_50,all,MWh,2030
2030,4015355.066045483,SWITCH,BASN,BASN_landbasedwind_class3_moderate_7,Wind,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_landbasedwind_class3_moderate_8,Wind,base_short_50,all,MWh,2030
2030,2467092.049839042,SWITCH,BASN,BASN_landbasedwind_class3_moderate_9,Wind,base_short_50,all,MWh,2030
2030,386673.2936423568,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_1,Natural Gas,base_short_50,all,MWh,2030
2030,21462811.207300417,SWITCH,BASN,BASN_natural_gas_fired_combined_cycle_2,Natural Gas,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_1,Natural Gas,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_natural_gas_fired_combustion_turbine_2,Natural Gas,base_short_50,all,MWh,2030
2030,16910.787779432434,SWITCH,BASN,BASN_natural_gas_internal_combustion_engine_1,Natural Gas,base_short_50,all,MWh,2030
2030,0.0,SWITCH,BASN,BASN_natural_gas_steam_turbine_1,Natural Gas,base_short_50,all,MWh,2030
