GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
BASN_battery_moderate_0,2050,220087.8119253569,5336.0,131036.0535020587,3177.0
BASN_biomass_1,2009,0.0,0.0,.,0.0
BASN_biomass_1,2011,0.0,0.0,.,0.0
BASN_biomass_1,2012,0.0,0.0,.,0.0
BASN_biomass_1,2014,0.0,0.0,.,0.0
BASN_biomass_1,2018,0.0,0.0,.,0.0
BASN_biomass_1,2019,0.0,0.0,.,0.0
BASN_biomass_1,2023,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1951,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1952,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1957,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1958,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1959,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1961,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1963,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1964,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1978,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1980,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1988,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1992,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,1995,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,2015,0.0,0.0,.,0.0
BASN_conventional_hydroelectric_1,2021,0.0,0.0,.,0.0
BASN_conventional_steam_coal_1,1993,0.0,0.0,.,0.0
BASN_conventional_steam_coal_1,2008,0.0,0.0,.,0.0
BASN_geothermal_1,2021,0.0,0.0,.,0.0
BASN_geothermal_1,2022,0.0,0.0,.,0.0
BASN_geothermal_1,2023,0.0,0.0,.,0.0
BASN_hydrogen_ccavgcf_moderate_0,2050,871776.3409567504,28000.0,.,0.0
BASN_hydrogen_ctavgcf_moderate_0,2050,730463.3552341046,21000.0,.,0.0
BASN_landbasedwind_class3_moderate_1,2050,771620.3561014795,34422.0,.,0.0
BASN_landbasedwind_class3_moderate_2,2050,771620.3561014795,34422.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1979,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1980,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1982,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1991,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1993,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1994,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,1996,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2003,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2004,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2005,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2006,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2007,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2008,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2011,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2012,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2014,0.0,0.0,.,0.0
BASN_natural_gas_fired_combined_cycle_1,2025,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2001,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2002,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2004,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2005,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2006,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2008,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2009,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2010,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2012,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2015,0.0,0.0,.,0.0
BASN_natural_gas_fired_combustion_turbine_1,2019,0.0,0.0,.,0.0
