GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_dbid,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_store_to_release_ratio,gen_can_provide_cap_reserves,gen_self_discharge_rate,gen_discharge_efficiency,gen_land_use_rate,gen_storage_energy_to_power_ratio,gen_type,gen_capacity_limit_mw
BASN_biomass_1,Biomass,Bio Solid,BASN,50,FALSE,FALSE,.,5.902,0,BASN_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,25.5
BASN_conventional_hydroelectric_1,Conventional Hydroelectric,Water,BASN,100,FALSE,FALSE,.,0,0,BASN_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,1478.3
BASN_conventional_steam_coal_1,Conventional Steam Coal,Coal,BASN,65,FALSE,TRUE,10.765,1.879,0,BASN_conventional_steam_coal_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Coal,270.2
BASN_geothermal_1,Geothermal,Heat,BASN,30,FALSE,FALSE,.,0,0,BASN_geothermal_1,0.05,0.04,0,FALSE,.,.,1,.,.,.,.,Geothermal,109.2
BASN_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,BASN,60,FALSE,FALSE,7.57,3.698,0,BASN_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,8151.9
BASN_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,BASN,50,FALSE,FALSE,11.273,5.279,0,BASN_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,1819.2
BASN_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,BASN,60,FALSE,FALSE,9.178,4.721,0,BASN_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,203.5
BASN_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,BASN,30,TRUE,FALSE,.,0,0,BASN_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,520
BASN_small_hydroelectric_1,Small Hydroelectric,Water,BASN,100,FALSE,FALSE,.,0,0,BASN_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,305.6
BASN_solar_photovoltaic_1,Solar Photovoltaic,Solar,BASN,30,TRUE,FALSE,.,0,0,BASN_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,4274.2
CANO_biomass_1,Biomass,Bio Solid,CANO,50,FALSE,FALSE,.,6.974,0,CANO_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,168.2
CANO_conventional_hydroelectric_1,Conventional Hydroelectric,Water,CANO,100,FALSE,FALSE,.,0,0,CANO_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,5616.8
CANO_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,CANO,100,FALSE,FALSE,.,0,0,CANO_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,2276.9
CANO_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,CANO,60,FALSE,FALSE,7.594,3.827,0,CANO_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,10966.1
CANO_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,CANO,50,FALSE,FALSE,11.031,5.279,0,CANO_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,2949.8
CANO_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,Naturalgas,CANO,60,FALSE,FALSE,9.494,4.884,0,CANO_natural_gas_internal_combustion_engine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,421.1
CANO_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,Naturalgas,CANO,50,FALSE,FALSE,9.21,1.056,0,CANO_natural_gas_steam_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,2.9
CANO_onshore_wind_turbine_1,Onshore Wind Turbine,Wind,CANO,30,TRUE,FALSE,.,0,0,CANO_onshore_wind_turbine_1,0,0,0,FALSE,.,.,1,.,.,.,.,Wind,61.8
CANO_petroleum_liquids_1,Petroleum Liquids,Diesel,CANO,40,FALSE,FALSE,.,6.216,0,CANO_petroleum_liquids_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Petroleum,148.4
CANO_small_hydroelectric_1,Small Hydroelectric,Water,CANO,100,FALSE,FALSE,.,0,0,CANO_small_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,540.5
CANO_solar_photovoltaic_1,Solar Photovoltaic,Solar,CANO,30,TRUE,FALSE,.,0,0,CANO_solar_photovoltaic_1,0,0,0,FALSE,.,.,1,.,.,.,.,Solar,2501.9
CASO_biomass_1,Biomass,Bio Solid,CASO,50,FALSE,FALSE,.,4.495,0,CASO_biomass_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Biomass,166.2
CASO_conventional_hydroelectric_1,Conventional Hydroelectric,Water,CASO,100,FALSE,FALSE,.,0,0,CASO_conventional_hydroelectric_1,0.05,0.05,0,FALSE,.,.,1,.,.,.,.,Hydro,919
CASO_geothermal_1,Geothermal,Heat,CASO,30,FALSE,FALSE,.,0,0,CASO_geothermal_1,0.05,0.04,0,FALSE,.,.,1,.,.,.,.,Geothermal,23.729
CASO_hydroelectric_pumped_storage_1,Hydroelectric Pumped Storage,Electricity,CASO,100,FALSE,FALSE,.,0,0,CASO_hydroelectric_pumped_storage_1,0.05,0.05,0,FALSE,0.749956,1,1,.,.,.,.,Hydro,1665
CASO_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,Naturalgas,CASO,60,FALSE,FALSE,7.858,3.747,0,CASO_natural_gas_fired_combined_cycle_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,7651.7
CASO_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,Naturalgas,CASO,50,FALSE,FALSE,10.348,5.279,0,CASO_natural_gas_fired_combustion_turbine_1,0.06,0.04,0,FALSE,.,.,1,.,.,.,.,Naturalgas,5216.1
